Group,ID,TargetEmotion,nGeneration,nSelected
PT,S1PT04,Fearful,3,3
PT,S1PT04,Fearful,4,3
PT,S1PT04,Fearful,5,3
PT,S1PT04,Fearful,6,3
PT,S1PT04,Fearful,7,3
PT,S1PT04,Fearful,8,3
PT,S1PT04,Happy,1,2
PT,S1PT04,Happy,2,4
PT,S1PT04,Happy,3,3
PT,S1PT04,Happy,4,3
PT,S1PT04,Happy,5,3
PT,S1PT04,Happy,6,4
PT,S1PT04,Happy,7,4
PT,S1PT04,Happy,8,4
PT,S1PT05,Angry,1,1
PT,S1PT05,Angry,2,2
PT,S1PT05,Angry,3,2
PT,S1PT05,Angry,4,2
PT,S1PT05,Angry,5,2
PT,S1PT05,Angry,6,2
PT,S1PT05,Angry,7,2
PT,S1PT05,Angry,8,2
PT,S1PT05,Fearful,1,1
PT,S1PT05,Fearful,2,1
PT,S1PT05,Fearful,3,1
PT,S1PT05,Fearful,4,2
PT,S1PT05,Fearful,5,2
PT,S1PT05,Fearful,6,2
PT,S1PT05,Fearful,7,2
PT,S1PT05,Fearful,8,2
PT,S1PT05,Happy,1,2
PT,S1PT05,Happy,2,2
PT,S1PT05,Happy,3,2
PT,S1PT05,Happy,4,2
PT,S1PT05,Happy,5,2
PT,S1PT05,Happy,6,2
PT,S1PT05,Happy,7,1
PT,S1PT05,Happy,8,2
PT,S1PT06,Angry,1,4
PT,S1PT06,Angry,2,4
PT,S1PT06,Angry,3,3
PT,S1PT06,Angry,4,3
PT,S1PT06,Angry,5,3
PT,S1PT06,Angry,6,3
PT,S1PT06,Angry,7,3
PT,S1PT06,Angry,8,3
PT,S1PT06,Fearful,1,2
PT,S1PT06,Fearful,2,3
PT,S1PT06,Fearful,3,3
PT,S1PT06,Fearful,4,3
PT,S1PT06,Fearful,5,4
PT,S1PT06,Fearful,6,5
PT,S1PT06,Fearful,7,5
PT,S1PT06,Fearful,8,5
PT,S1PT06,Happy,1,2
PT,S1PT06,Happy,2,5
PT,S1PT06,Happy,3,3
PT,S1PT06,Happy,4,4
PT,S1PT06,Happy,5,6
PT,S1PT06,Happy,6,3
PT,S1PT06,Happy,7,5
PT,S1PT06,Happy,8,4
PT,S1PT08,Angry,1,2
PT,S1PT08,Angry,2,3
PT,S1PT08,Angry,3,5
PT,S1PT08,Angry,4,4
PT,S1PT08,Angry,5,4
PT,S1PT08,Angry,6,5
PT,S1PT08,Angry,7,4
PT,S1PT08,Angry,8,5
PT,S1PT08,Fearful,1,2
PT,S1PT08,Fearful,2,5
PT,S1PT08,Fearful,3,4
PT,S1PT08,Fearful,4,5
PT,S1PT08,Fearful,5,5
PT,S1PT08,Fearful,6,4
PT,S1PT08,Fearful,7,6
PT,S1PT08,Fearful,8,6
PT,S1PT08,Happy,1,3
PT,S1PT08,Happy,2,4
PT,S1PT08,Happy,3,5
PT,S1PT08,Happy,4,4
PT,S1PT08,Happy,5,7
PT,S1PT08,Happy,6,4
PT,S1PT08,Happy,7,5
PT,S1PT08,Happy,8,4
PT,S1PT09,Angry,1,2
PT,S1PT09,Angry,2,5
PT,S1PT09,Angry,3,5
PT,S1PT09,Angry,4,3
PT,S1PT09,Angry,5,4
PT,S1PT09,Angry,6,7
PT,S1PT09,Angry,7,4
PT,S1PT09,Angry,8,5
PT,S1PT09,Fearful,1,2
PT,S1PT09,Fearful,2,4
PT,S1PT09,Fearful,3,3
PT,S1PT09,Fearful,4,3
PT,S1PT09,Fearful,5,3
PT,S1PT09,Fearful,6,3
PT,S1PT09,Fearful,7,2
PT,S1PT09,Fearful,8,3
PT,S1PT09,Happy,1,3
PT,S1PT09,Happy,2,2
PT,S1PT09,Happy,3,3
PT,S1PT09,Happy,4,1
PT,S1PT09,Happy,5,2
PT,S1PT09,Happy,6,3
PT,S1PT09,Happy,7,4
PT,S1PT09,Happy,8,2
PT,S1PT12,Angry,1,2
PT,S1PT12,Angry,2,3
PT,S1PT12,Angry,3,4
PT,S1PT12,Angry,4,3
PT,S1PT12,Angry,5,6
PT,S1PT12,Angry,6,5
PT,S1PT12,Angry,7,4
PT,S1PT12,Angry,8,6
PT,S1PT12,Fearful,1,2
PT,S1PT12,Fearful,2,3
PT,S1PT12,Fearful,3,4
PT,S1PT12,Fearful,4,3
PT,S1PT12,Fearful,5,4
PT,S1PT12,Fearful,6,5
PT,S1PT12,Fearful,7,4
PT,S1PT12,Fearful,8,4
PT,S1PT12,Happy,1,2
PT,S1PT12,Happy,2,5
PT,S1PT12,Happy,3,6
PT,S1PT12,Happy,4,5
PT,S1PT12,Happy,5,5
PT,S1PT12,Happy,6,5
PT,S1PT12,Happy,7,6
PT,S1PT12,Happy,8,4
PT,S1PT13,Angry,1,2
PT,S1PT13,Angry,2,2
PT,S1PT13,Angry,3,2
PT,S1PT13,Angry,4,2
PT,S1PT13,Angry,5,2
PT,S1PT13,Angry,6,2
PT,S1PT13,Angry,7,2
PT,S1PT13,Angry,8,2
PT,S1PT13,Fearful,1,2
PT,S1PT13,Fearful,2,2
PT,S1PT13,Fearful,3,2
PT,S1PT13,Fearful,4,2
PT,S1PT13,Fearful,5,2
PT,S1PT13,Fearful,6,2
PT,S1PT13,Fearful,7,2
PT,S1PT13,Fearful,8,2
PT,S1PT13,Happy,1,4
PT,S1PT13,Happy,2,2
PT,S1PT13,Happy,3,3
PT,S1PT13,Happy,4,3
PT,S1PT13,Happy,5,4
PT,S1PT13,Happy,6,5
PT,S1PT13,Happy,7,5
PT,S1PT13,Happy,8,4
PT,S1PT15,Angry,1,3
PT,S1PT15,Angry,2,3
PT,S1PT15,Angry,3,2
PT,S1PT15,Angry,4,5
PT,S1PT15,Angry,5,5
PT,S1PT15,Angry,6,7
PT,S1PT15,Angry,7,6
PT,S1PT15,Angry,8,4
PT,S1PT15,Happy,1,3
PT,S1PT15,Happy,2,2
PT,S1PT15,Happy,3,4
PT,S1PT15,Happy,4,6
PT,S1PT15,Happy,5,4
PT,S1PT15,Happy,6,7
PT,S1PT15,Happy,7,7
PT,S1PT15,Happy,8,7
PT,S1PT16,Angry,1,6
PT,S1PT16,Angry,2,7
PT,S1PT16,Angry,3,7
PT,S1PT16,Angry,4,6
PT,S1PT16,Angry,5,8
PT,S1PT16,Angry,6,9
PT,S1PT16,Angry,7,8
PT,S1PT16,Angry,8,9
PT,S1PT16,Fearful,1,4
PT,S1PT16,Fearful,2,7
PT,S1PT16,Fearful,3,7
PT,S1PT16,Fearful,4,2
PT,S1PT16,Fearful,5,7
PT,S1PT16,Fearful,6,8
PT,S1PT16,Fearful,7,7
